icrogidA	icrogidB	w
17209958	2653705	0.191
414846	4892140	0.778
3451590	4559607	1
4276112	506434	0.28
29378	2955088	0.36
1296356	1856928	0.943
3509741	38167	0.854
1054200	2525403	0.28
2489355	3613055	1
4320654	5278338	0.999
2494598	4691983	0.418
403028	4716466	0.191
2784563	4696333	0.36
2451596	2898495	0.744
1123797	3863037	0.28
2186087	4121257	0.798
1895339	4899263	0.28
1165658	3116361	0.719
1317902	2213337	0.684
4012899	5316100	0.744
1944031	2453542	0.36
1586754	29439	1
4855352	4930249	0.36
1170182	4524269	0.191
3534885	9148596	0.28
1211564	4570210	0.719
3710129	508037	0.55
4972844	5207613	0.431
2974551	4651885	0.96
5408338	9442767	0.431
1170182	4535951	0.55
1202600	631808	0.28
2246142	552323	0.28
1991355	2807898	0.55
1180921	2586207	0.744
3008487	5089867	0.36
2695738	3067224	0.494
1589274	4601808	0.431
258011	4604599	0.431
4056103	4747815	0.861
3326851	3710129	0.844
5056622	9378084	0.644
1762735	483984	0.84
1605335	2677230	0.28
4278513	9442996	0.28
2186087	5157354	0.644
2168149	4687717	0.36
1576347	1605335	0.816
4443022	5344929	0.482
4563998	532535	0.985
2080390	4625451	0.431
2204433	2498461	0.28
2623348	2860102	0.431
1262914	5343965	0.744
13660479	1434959	0.591
195893	2551919	0.984
2135848	4765909	0.832
4572794	820620	0.909
3758918	4931247	0.36
1386965	2993521	0.28
14007743	4456845	0.28
2547906	4862851	0.431
2110170	3134370	0.431
1795737	4377200	0.719
1065781	5203777	0.676
4058961	900408	0.28
2562491	3568257	0.191
5222487	809471	0.54
1119923	3144076	0.431
5095942	629215	0.893
1684020	3877317	0.627
1629502	2349500	0.55
4412742	5240249	0.885
2640615	4625482	0.55
5001936	5376339	0.816
158852	4497883	0.431
4969520	5157354	0.28
1588896	4774660	0.431
2715385	4308451	0.36
247278	960153	0.36
172683	767458	0.36
202100	3087482	0.482
1735580	1876180	0.36
4336213	819715	0.802
1103259	4300278	0.36
10724543	2025171	0.36
4787142	9443126	0.744
109728	3499327	0.676
1931386	3434913	0.28
1479227	95025	0.36
1806051	2245324	0.482
2219336	2229096	0.867
2999614	3589204	0.644
399905	400924	0.431
2423744	806284	0.981
245135	3573425	0.993
1297532	1605335	0.778
4087930	4880200	0.431
3077030	3329408	0.6
1020140	1470775	0.992
2543349	3062679	0.36
5155720	548010	0.984
3316014	907507	0.719
150325	5115478	0.55
1925908	2607334	1
2024366	4007328	0.28
107288	4311946	0.591
1281863	2963020	0.778
3662844	5330805	0.28
2068280	495201	0.28
2054477	3176507	0.6
1118883	9443098	0.36
2044619	4667074	0.36
2681838	2694002	0.719
2154661	805597	0.36
2755696	5413309	0.36
1225201	1413041	0.431
1149900	2981808	0.28
150325	4992485	0.744
3490749	9378659	0.744
2223151	2273196	0.6
2974551	936905	0.93
3561527	4433270	0.999
1594998	482626	0.36
3786432	430034	0.36
5376339	863768	0.84
343518	3667797	0.636
746078	875557	0.99
3837793	4867693	0.644
585351	816419	0.36
4791881	482264	0.28
3909139	554491	0.28
1190845	5074778	0.995
4813983	5118416	1
1225374	9147737	0.636
2967988	737582	0.36
3829664	5085601	0.778
2616221	9644680	0.431
2439517	5433705	0.36
1253203	3390649	0.591
4670894	857930	1
3567951	547668	0.28
2888644	4446425	1
2609839	86338	0.55
24889	3408178	0.431
494867	846328	0.55
1316718	5108955	0.431
3710129	975466	0.494
1388712	2278161	0.28
146449	5317216	0.28
4122724	5269027	0.28
155650	1673203	0.874
2742570	5091618	0.494
2693458	5006590	0.494
3130413	4800517	0.431
3653674	4835623	0.28
172683	5190372	0.36
3077030	5118044	0.788
3246545	5292006	0.431
4843649	5406538	0.191
1027325	783937	0.913
2068280	4416305	0.482
4883227	69516	0.28
2338264	95450	0.778
1926593	4972844	0.431
2295161	554955	0.802
2068280	4687627	0.772
223611	3909139	0.28
4424305	4604599	0.55
4865286	857930	0.985
261522	3143545	0.28
3908752	820620	0.997
2068280	2527179	0.999
138193	1562406	0.36
4327021	9214025	0.431
4909096	87526	0.84
1214633	3303645	0.964
2556870	3066675	0.55
2186833	3961535	0.54
4859895	9644680	0.431
16817590	1706607	0.28
1474152	2068280	0.879
1458779	698664	0.767
4717428	5257001	0.874
2620388	296374	0.28
2029430	2068280	0.879
2508904	4214270	0.921
1076258	3880882	0.431
4370876	4765909	0.861
4651885	749684	1
2413448	4662323	0.55
