icrogid	uid	hgnc_symbol	entrezgene	ensembl_gene_id
3433603	3272118	NOTCH4	4855	ENSG00000206312
450858	3859585	NOV	4856	ENSG00000136999
4879449	4813983	NOVA1	4857	ENSG00000139910
5028244	5028244	NOX1	27035	ENSG00000007952
5356356	524549	NOX4	50507	ENSG00000086991
50978143	3691852	NOX5	79400	ENSG00000255346
1189213	5028244	NOXA1	10811	ENSG00000188747
3712667	1189213	NOXO1	124056	ENSG00000196408
4977793	3010888	NPAS1	4861	ENSG00000130751
4844654	2296393	NPAS2	4862	ENSG00000170485
97576	3010888	NPAS4	266743	ENSG00000174576
2386652	5219859	NPAT	4863	ENSG00000149308
1456493	1565509	NPB	256933	ENSG00000183979
1565509	1565509	NPBWR1	2831	ENSG00000183729
890119	1456493	NPBWR2	2832	ENSG00000125522
5356388	4635868	NPC1	4864	ENSG00000141458
4469968	2271964	NPC2	10577	ENSG00000119655
4886985	5118416	NPDC1	56654	ENSG00000107281
1479909	3872267	NPEPL1	79716	ENSG00000215440
5368339	16817590	NPEPPS	9520	ENSG00000141279
1611326	3552647	NPFF	8620	ENSG00000139574
3552647	3552647	NPFFR1	64106	ENSG00000148734
35930620	2993587	NPFFR2	10886	ENSG00000056291
3415582	5828243	NPHP1	4867	ENSG00000144061
806338	3415582	NPHP3	27031	ENSG00000113971
3421141	3699097	NPHP4	261734	ENSG00000131697
4736882	4662323	NPHS1	4868	ENSG00000161270
3453124	4137152	NPHS2	7827	ENSG00000116218
41955032	41955032	NPIPA3	642799	ENSG00000224712
41891578	2186087	NPL	80896	ENSG00000135838
2138435	4177373	NPLOC4	55666	ENSG00000182446
2229096	4017018	NPM1	4869	ENSG00000181163
39154836	1637096	NPM2	10361	ENSG00000158806
2933287	1588896	NPM3	10360	ENSG00000107833
4078877	4078877	NPNT	255743	ENSG00000168743
3489875	2687131	NPPA	4878	ENSG00000175206
1307937	1734411	NPPB	4879	ENSG00000120937
1565183	305688	NPPC	4880	ENSG00000163273
3299226	821803	NPR1	4881	ENSG00000169418
1263226	4732923	NPR2	4882	ENSG00000159899
305688	1565183	NPR3	4883	ENSG00000113389
4040535	5015644	NPRL2	10641	ENSG00000114388
4020300	2791218	NPRL3	8131	ENSG00000103148
222464	894182	NPTN	27020	ENSG00000156642
3896216	4157697	NPTX1	4884	ENSG00000171246
5123483	5123483	NPTX2	4885	ENSG00000106236
1818122	5123483	NPTXR	23467	ENSG00000221890
4721828	4154210	NPVF	64111	ENSG00000105954
5356531	1565509	NPW	283869	ENSG00000183971
4426770	5221850	NPY	4852	ENSG00000122585
5221850	4589935	NPY1R	4886	ENSG00000164128
4737054	4737054	NPY2R	4887	ENSG00000185149
1030678	3061633	NPY4R	100996758	ENSG00000204174
3520639	4807805	NPY5R	4889	ENSG00000164129
1954065	3202052	NQO1	1728	ENSG00000181019
1665559	4918939	NQO2	4835	ENSG00000124588
4185713	1749413	NR0B1	190	ENSG00000169297
907507	2068280	NR0B2	8431	ENSG00000131910
4353082	4810370	NR1D1	9572	ENSG00000126368
5356665	899063	NR1D2	9975	ENSG00000174738
14007198	2334564	NR1H2	7376	ENSG00000131408
3316014	9442359	NR1H3	10062	ENSG00000025434
5038017	9650725	NR1H4	9971	ENSG00000012504
639929	10013563	NR1I2	8856	ENSG00000144852
3330644	2071127	NR1I3	9970	ENSG00000143257
